claim_id,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
117517,2023,DICIEMBRE,SABADO,16/12/2023,8,Hurto,Hurto automotor,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62996","-58,489205",1
117518,2023,SEPTIEMBRE,LUNES,25/9/2023,12,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,628963","-58,490383",1
117519,2023,DICIEMBRE,JUEVES,28/12/2023,20,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62994","-58,489218",1
117520,2023,ENERO,SABADO,28/1/2023,15,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,629138","-58,490251",1
117521,2023,ENERO,DOMINGO,8/1/2023,10,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,628009","-58,491738",1
117522,2023,ENERO,LUNES,23/1/2023,11,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62801","-58,491155",1
117523,2023,MARZO,JUEVES,2/3/2023,20,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,627971","-58,490645",1
117526,2023,JUNIO,VIERNES,9/6/2023,18,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,629817","-58,488762",1
117527,2023,JUNIO,MIERCOLES,28/6/2023,13,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,62948","-58,491405",1
117528,2023,JULIO,SABADO,22/7/2023,11,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,628545","-58,489244",1
117530,2023,AGOSTO,VIERNES,18/8/2023,10,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,628663","-58,490814",1
117531,2023,SEPTIEMBRE,DOMINGO,17/9/2023,17,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,6277187","-58,49024717",1
117533,2023,FEBRERO,VIERNES,3/2/2023,20,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636035","-58,491061",1
117534,2023,ABRIL,SABADO,29/4/2023,21,Robo,Robo total,SI,NO,VELEZ SARSFIELD,CC-10,"-34,63506","-58,49134",1
117535,2023,DICIEMBRE,JUEVES,7/12/2023,4,Robo,Robo total,SI,NO,VELEZ SARSFIELD,CC-10,"-34,636035","-58,491061",1
117536,2023,MAYO,DOMINGO,7/5/2023,11,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63597418","-58,49081926",1
117537,2023,JUNIO,DOMINGO,25/6/2023,0,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635556","-58,491156",1
117538,2023,AGOSTO,VIERNES,25/8/2023,8,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636035","-58,491061",1
117539,2023,AGOSTO,JUEVES,31/8/2023,5,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63622878","-58,49100804",1
117540,2023,SEPTIEMBRE,JUEVES,14/9/2023,10,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635444","-58,491285",1
117541,2023,SEPTIEMBRE,MIERCOLES,13/9/2023,21,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636035","-58,491061",1
117542,2023,OCTUBRE,MIERCOLES,4/10/2023,9,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636152","-58,490829",1
117543,2023,OCTUBRE,MARTES,17/10/2023,17,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63611934","-58,49143239",1
117544,2023,OCTUBRE,SABADO,21/10/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636607","-58,491549",1
117545,2023,OCTUBRE,SABADO,14/10/2023,14,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63633673","-58,49098546",1
117546,2023,JUNIO,VIERNES,30/6/2023,18,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63604698","-58,49101314",1
117548,2023,ABRIL,LUNES,17/4/2023,12,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,631943","-58,487115",1
117558,2023,ABRIL,VIERNES,14/4/2023,18,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,632","-58,487181",1
117559,2023,MARZO,MARTES,21/3/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63709901","-58,49074331",1
117560,2023,MARZO,LUNES,27/3/2023,20,Hurto,Hurto automotor,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637171","-58,491097",1
117561,2023,MAYO,VIERNES,5/5/2023,7,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637001","-58,490832",1
117562,2023,MAYO,MARTES,9/5/2023,8,Hurto,Hurto automotor,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637367","-58,49068",1
117563,2023,JUNIO,MIERCOLES,28/6/2023,6,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,6377399","-58,49016097",1
117564,2023,JULIO,SABADO,15/7/2023,10,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637309","-58,491087",1
117565,2023,AGOSTO,VIERNES,11/8/2023,9,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63716055","-58,48994126",1
117566,2023,AGOSTO,SABADO,19/8/2023,10,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637367","-58,49068",1
117567,2023,AGOSTO,MIERCOLES,23/8/2023,14,Hurto,Hurto automotor,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637757","-58,490122",1
117568,2023,SEPTIEMBRE,VIERNES,22/9/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63734","-58,49067",1
117569,2023,NOVIEMBRE,LUNES,20/11/2023,16,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637723","-58,490623",1
117570,2023,SEPTIEMBRE,LUNES,18/9/2023,12,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637602","-58,491424",1
117571,2023,ABRIL,MIERCOLES,19/4/2023,19,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63679","-58,491348",1
117572,2023,JULIO,JUEVES,27/7/2023,10,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636795","-58,490797",1
117573,2023,SEPTIEMBRE,MARTES,5/9/2023,22,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,637585","-58,49136",1
117599,2023,MARZO,MIERCOLES,15/3/2023,11,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638508","-58,482079",1
117600,2023,JUNIO,JUEVES,8/6/2023,13,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638457","-58,481744",1
117601,2023,OCTUBRE,MIERCOLES,18/10/2023,15,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638457","-58,481744",1
117639,2023,MAYO,VIERNES,12/5/2023,7,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63878698","-58,49082494",1
117641,2023,JULIO,MIERCOLES,26/7/2023,4,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,638319","-58,490358",1
117643,2023,SEPTIEMBRE,LUNES,4/9/2023,8,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,63862966","-58,49015525",1
117644,2023,FEBRERO,DOMINGO,26/2/2023,7,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,639608","-58,48987",1
117646,2023,MARZO,VIERNES,3/3/2023,6,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,639027","-58,490152",1
117671,2023,JUNIO,SABADO,10/6/2023,19,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635577","-58,480426",1
117678,2023,DICIEMBRE,JUEVES,21/12/2023,6,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636119","-58,479929",1
117679,2023,MAYO,DOMINGO,28/5/2023,2,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,636187","-58,479664",1
117692,2023,ENERO,JUEVES,26/1/2023,1,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635466","-58,482812",1
117693,2023,ENERO,MARTES,31/1/2023,21,Robo,Robo total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635466","-58,482812",1
117694,2023,AGOSTO,VIERNES,4/8/2023,15,Hurto,Hurto total,NO,NO,VELEZ SARSFIELD,CC-10,"-34,635843","-58,484249",1
